Kyoto,Tokyo,Kagoshima,
29.2,28.8,28.6
30.6,30.3,28.7
30.3,32.1,29.5
30.6,30.8,30.1
29.9,29,29.9
28.2,28.5,29.5
28.4,28.5,29.3
30.2,28.1,29.3
29.2,28.5,29.1
29.3,28,29.3
29.9,28.7,29.8
30.3,29.2,29.9
30.8,29.4,29.9
30.4,27.8,30
31.1,27.9,29.8
30.1,26.8,29.6
